run	planningAlg	refinementAlg	robotCount	gridSize	dynamicity	planningCallCount	totalPlanningTime	averagePlanningTime	takenActionCount	totalActingTime	averageActingTime	totalTime	executionCode
0	AStar	AP_lazy	6	8	1	2	3333	1666	10	35	3	3649	GOOD
1	AStar	AP_lazy	6	8	1	2	2984	1492	10	37	3	3238	GOOD
2	AStar	AP_lazy	6	8	1	2	2940	1470	10	34	3	3180	GOOD
3	AStar	AP_lazy	6	8	1	2	2865	1432	10	40	4	3113	GOOD
4	AStar	AP_lazy	6	8	1	2	3015	1507	10	31	3	3253	GOOD
5	AStar	AP_lazy	6	8	1	2	2803	1401	10	34	3	3032	GOOD
6	AStar	AP_lazy	6	8	1	2	2770	1385	10	34	3	3001	GOOD
7	AStar	AP_lazy	6	8	1	2	2733	1366	10	34	3	2964	GOOD
8	AStar	AP_lazy	6	8	1	2	2759	1379	10	32	3	2989	GOOD
9	AStar	AP_lazy	6	8	1	2	2741	1370	10	35	3	2970	GOOD
0	AStar	AP_interleaved	6	8	1	8	4670	583	8	26	3	4710	GOOD
1	AStar	AP_interleaved	6	8	1	8	4659	582	8	25	3	4698	GOOD
2	AStar	AP_interleaved	6	8	1	8	4626	578	8	30	3	4672	GOOD
3	AStar	AP_interleaved	6	8	1	8	4639	579	8	27	3	4681	GOOD
4	AStar	AP_interleaved	6	8	1	8	4664	583	8	25	3	4707	GOOD
5	AStar	AP_interleaved	6	8	1	8	4640	580	8	27	3	4682	GOOD
6	AStar	AP_interleaved	6	8	1	8	4670	583	8	25	3	4709	GOOD
7	AStar	AP_interleaved	6	8	1	8	4801	600	8	27	3	4845	GOOD
8	AStar	AP_interleaved	6	8	1	8	5124	640	8	28	3	5170	GOOD
9	AStar	AP_interleaved	6	8	1	8	4785	598	8	27	3	4827	GOOD
0	AStar	AP_mixed	6	8	1	4	3911	977	8	23	2	4080	GOOD
1	AStar	AP_mixed	6	8	1	4	3975	993	8	29	3	4147	GOOD
2	AStar	AP_mixed	6	8	1	4	4732	1183	8	26	3	4925	GOOD
3	AStar	AP_mixed	6	8	1	4	4144	1036	8	26	3	4319	GOOD
4	AStar	AP_mixed	6	8	1	4	4108	1027	8	26	3	4286	GOOD
5	AStar	AP_mixed	6	8	1	4	4057	1014	8	26	3	4232	GOOD
6	AStar	AP_mixed	6	8	1	4	4005	1001	8	28	3	4181	GOOD
7	AStar	AP_mixed	6	8	1	4	3981	995	8	31	3	4164	GOOD
8	AStar	AP_mixed	6	8	1	4	4038	1009	8	29	3	4216	GOOD
9	AStar	AP_mixed	6	8	1	4	4025	1006	8	29	3	4208	GOOD
END
